"ID","Last Acquisition","Latitude","Longitude","Date","Time (UTC)","Heading","Speed","Official Dest","Official ETA","Draught"
1860,"2020-09-09 20:52:25","39.01888 N","25.96798 E","2020-09-09","18:51","305.8°","8.1 kn","RU KZP","Sep 13, 10:00","3.0 m"
1859,"2020-09-09 19:52:06","38.96193 N","26.12577 E","2020-09-09","17:50","289.7°","7.8 kn","RU KZP","Sep 13, 10:00","3.0 m"
1858,"2020-09-09 18:52:21","38.87018 N","26.53332 E","2020-09-09","15:20","291.0°","7.4 kn","RU KZP","Sep 13, 10:00","3.0 m"
1857,"2020-09-09 17:52:22","38.87018 N","26.53332 E","2020-09-09","15:20","291.0°","7.4 kn","RU KZP","Sep 13, 10:00","3.0 m"
1856,"2020-09-09 16:52:17","38.82078 N","26.73282 E","2020-09-09","14:01","289.3°","8.0 kn","RU KZP","Sep 13, 10:00","3.0 m"
1855,"2020-09-09 15:52:03","38.81313 N","26.76208 E","2020-09-09","13:51","286.0°","7.9 kn","RU KZP","Sep 13, 10:00","3.0 m"
1854,"2020-09-09 14:52:32","38.76935 N","26.91138 E","2020-09-09","12:50","290.7°","2.0 kn","RU KZP","Sep 13, 10:00","3.0 m"
1853,"2020-09-09 13:52:25","38.76355 N","26.91463 E","2020-09-09","11:45","258.2°","0.0 kn","RU KZP","Sep 13, 10:00","3.0 m"
1852,"2020-09-09 12:52:31","38.76355 N","26.91463 E","2020-09-09","10:33","351.4°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1851,"2020-09-09 11:52:02","38.76353 N","26.91467 E","2020-09-09","09:51","351.4°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1850,"2020-09-09 10:52:21","38.76357 N","26.91463 E","2020-09-09","08:48","314.8°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1849,"2020-09-09 09:52:16","38.76355 N","26.91463 E","2020-09-09","07:51","314.8°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1848,"2020-09-09 08:52:10","38.76355 N","26.91467 E","2020-09-09","06:51","205.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1847,"2020-09-09 07:52:07","38.76357 N","26.91465 E","2020-09-09","05:45","205.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1846,"2020-09-09 06:52:23","38.76355 N","26.91463 E","2020-09-09","04:51","205.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1845,"2020-09-09 05:52:16","38.76353 N","26.91467 E","2020-09-09","03:51","205.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1844,"2020-09-09 04:52:09","38.76353 N","26.91463 E","2020-09-09","02:51","275.4°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1843,"2020-09-09 03:52:05","38.76355 N","26.91465 E","2020-09-09","01:51","1.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1842,"2020-09-09 02:52:14","38.76357 N","26.91465 E","2020-09-09","00:30","146.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1841,"2020-09-09 01:52:25","38.76355 N","26.91465 E","2020-09-08","23:45","146.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1840,"2020-09-09 00:52:24","38.76352 N","26.91467 E","2020-09-08","22:46","146.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1839,"2020-09-08 23:52:14","38.76357 N","26.91467 E","2020-09-08","21:46","89.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1838,"2020-09-08 22:52:19","38.76357 N","26.91467 E","2020-09-08","20:46","89.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1837,"2020-09-08 21:52:09","38.76355 N","26.91467 E","2020-09-08","19:50","121.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1836,"2020-09-08 20:52:51","38.76355 N","26.91462 E","2020-09-08","18:50","121.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1835,"2020-09-08 19:52:26","38.76355 N","26.91465 E","2020-09-08","17:38","41.7°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1834,"2020-09-08 18:52:12","38.76658 N","26.91262 E","2020-09-08","16:51","150.6°","2.7 kn","TRNEM","Sep 3, 10:00","4.0 m"
1833,"2020-09-08 17:52:15","38.79398 N","26.88153 E","2020-09-08","15:51","104.0°","2.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1832,"2020-09-08 16:52:30","38.80507 N","26.88265 E","2020-09-08","14:50","289.8°","0.2 kn","TRNEM","Sep 3, 10:00","4.0 m"
1831,"2020-09-08 15:52:33","38.80428 N","26.88282 E","2020-09-08","13:50","296.2°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1830,"2020-09-08 14:52:11","38.80452 N","26.88422 E","2020-09-08","12:45","330.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1829,"2020-09-08 13:52:27","38.80447 N","26.88415 E","2020-09-08","11:47","56.8°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1828,"2020-09-08 12:52:07","38.8044 N","26.88388 E","2020-09-08","10:41","23.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1827,"2020-09-08 11:52:29","38.80443 N","26.88247 E","2020-09-08","09:47","15.1°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1826,"2020-09-08 10:52:33","38.80435 N","26.88245 E","2020-09-08","08:50","272.5°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1825,"2020-09-08 09:52:36","38.80428 N","26.88255 E","2020-09-08","07:48","272.5°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1824,"2020-09-08 08:52:10","38.80428 N","26.88267 E","2020-09-08","06:47","234.3°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1823,"2020-09-08 07:52:06","38.80435 N","26.88252 E","2020-09-08","05:47","209.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1822,"2020-09-08 06:52:27","38.80435 N","26.88253 E","2020-09-08","04:50","209.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1821,"2020-09-08 05:52:30","38.80425 N","26.88268 E","2020-09-08","03:41","209.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1820,"2020-09-08 04:52:20","38.80428 N","26.88262 E","2020-09-08","02:38","209.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1819,"2020-09-08 03:52:35","38.80442 N","26.88243 E","2020-09-08","01:50","209.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1818,"2020-09-08 02:52:23","38.80447 N","26.88237 E","2020-09-08","00:50","209.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1817,"2020-09-08 01:52:11","38.80435 N","26.8824 E","2020-09-07","23:50","303.4°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1816,"2020-09-08 00:52:23","38.80427 N","26.88258 E","2020-09-07","22:32","228.8°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1815,"2020-09-07 23:52:05","38.8043 N","26.8827 E","2020-09-07","21:38","228.8°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1814,"2020-09-07 22:52:39","38.8043 N","26.88258 E","2020-09-07","20:48","228.8°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1813,"2020-09-07 21:52:13","38.80433 N","26.8829 E","2020-09-07","19:47","228.8°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1812,"2020-09-07 20:52:39","38.80463 N","26.88425 E","2020-09-07","18:44","232.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1811,"2020-09-07 19:52:24","38.80538 N","26.8846 E","2020-09-07","17:48","309.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1810,"2020-09-07 18:52:14","38.80545 N","26.88452 E","2020-09-07","16:48","309.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1809,"2020-09-07 17:52:36","38.80527 N","26.88465 E","2020-09-07","15:51","226.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1808,"2020-09-07 16:52:36","38.8053 N","26.88467 E","2020-09-07","14:47","226.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1807,"2020-09-07 15:52:27","38.80523 N","26.8849 E","2020-09-07","13:44","226.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1806,"2020-09-07 14:52:19","38.80522 N","26.8848 E","2020-09-07","12:48","249.2°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1805,"2020-09-07 13:52:32","38.80475 N","26.88473 E","2020-09-07","11:50","175.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1804,"2020-09-07 12:52:21","38.80465 N","26.88448 E","2020-09-07","10:48","14.1°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1803,"2020-09-07 11:52:22","38.80457 N","26.8844 E","2020-09-07","09:51","14.1°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1802,"2020-09-07 10:52:21","38.8042 N","26.88297 E","2020-09-07","08:48","136.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1801,"2020-09-07 09:52:02","38.8043 N","26.88257 E","2020-09-07","07:48","65.0°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1800,"2020-09-07 08:52:18","38.8043 N","26.8826 E","2020-09-07","06:50","298.0°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1799,"2020-09-07 07:52:33","38.80435 N","26.88265 E","2020-09-07","05:47","298.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1798,"2020-09-07 06:52:19","38.80435 N","26.88285 E","2020-09-07","04:47","298.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1797,"2020-09-07 05:52:31","38.80452 N","26.88252 E","2020-09-07","03:50","298.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1796,"2020-09-07 04:52:29","38.80442 N","26.8825 E","2020-09-07","02:50","298.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1795,"2020-09-07 03:52:25","38.80452 N","26.88248 E","2020-09-07","01:50","298.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1794,"2020-09-07 02:52:29","38.80418 N","26.88253 E","2020-09-07","00:42","156.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1793,"2020-09-07 01:52:26","38.80418 N","26.88265 E","2020-09-06","23:50","169.3°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1792,"2020-09-07 00:52:29","38.80435 N","26.88252 E","2020-09-06","22:47","16.5°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1791,"2020-09-06 23:52:15","38.80438 N","26.8826 E","2020-09-06","21:50","241.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1790,"2020-09-06 22:52:19","38.80438 N","26.88257 E","2020-09-06","20:48","340.7°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1789,"2020-09-06 21:52:28","38.80427 N","26.88272 E","2020-09-06","19:34","214.5°","0.2 kn","TRNEM","Sep 3, 10:00","4.0 m"
1788,"2020-09-06 20:52:30","38.80423 N","26.88265 E","2020-09-06","18:40","4.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1787,"2020-09-06 19:52:11","38.80443 N","26.88248 E","2020-09-06","17:49","351.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1786,"2020-09-06 18:52:06","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1785,"2020-09-06 17:52:11","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1784,"2020-09-06 16:52:20","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1783,"2020-09-06 15:52:12","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1782,"2020-09-06 14:52:09","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1781,"2020-09-06 13:52:16","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1780,"2020-09-06 12:52:20","38.80443 N","26.88265 E","2020-09-06","10:43","350.0°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1779,"2020-09-06 11:52:28","38.80425 N","26.88248 E","2020-09-06","09:37","62.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1778,"2020-09-06 10:52:25","38.80422 N","26.88248 E","2020-09-06","08:49","153.9°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1777,"2020-09-06 09:52:19","38.80428 N","26.8828 E","2020-09-06","06:01","66.7°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1776,"2020-09-06 08:52:15","38.80428 N","26.8828 E","2020-09-06","06:01","66.7°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1775,"2020-09-06 07:52:12","38.80427 N","26.8828 E","2020-09-06","05:49","94.0°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1774,"2020-09-06 06:52:38","38.80422 N","26.8829 E","2020-09-06","03:55","290.6°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
1773,"2020-09-06 05:52:46","38.80418 N","26.88307 E","2020-09-06","03:49","37.3°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1772,"2020-09-06 04:52:30","38.80428 N","26.88287 E","2020-09-06","02:37","297.1°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1771,"2020-09-06 03:52:08","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1770,"2020-09-06 02:52:13","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1769,"2020-09-06 01:52:43","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1768,"2020-09-06 00:52:20","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1767,"2020-09-05 23:52:29","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1766,"2020-09-05 22:52:16","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1765,"2020-09-05 21:52:16","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1764,"2020-09-05 20:52:11","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1763,"2020-09-05 19:52:33","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1762,"2020-09-05 18:52:01","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1761,"2020-09-05 17:52:28","38.80418 N","26.88272 E","2020-09-05","15:13","106.7°","0.1 kn","TRNEM","Sep 3, 10:00","4.0 m"
1760,"2020-09-05 16:52:21","38.80423 N","26.88268 E","2020-09-05","14:25","246.3°","0.0 kn","TRNEM","Sep 3, 10:00","4.0 m"
